groupe,chambre,nb_elus,nb_elus_zone_aria,pct_elus_zone_aria,total_sites_zones,score_moyen
Rassemblement National,AN,122,122,100.0,39421,377.56
Les Républicains,SEN,131,96,73.3,26431,210.0
Ensemble pour la République,AN,91,79,86.8,26199,336.78
La France insoumise - Nouveau Front Populaire,AN,71,71,100.0,25890,401.12
Socialistes et apparentés,AN,68,68,100.0,24213,396.3
SER,SEN,65,50,76.9,16141,258.31
Écologiste et Social,AN,38,37,97.4,13765,402.84
UC,SEN,59,50,84.7,13012,229.85
Droite Républicaine,AN,48,48,100.0,12058,303.1
Horizons & Indépendants,AN,35,35,100.0,11018,368.33
Les Démocrates,AN,37,35,94.6,10108,326.09
"Libertés, Indépendants, Outre-mer et Territoires",AN,23,21,91.3,7497,367.92
Union des droites pour la République,AN,17,17,100.0,6252,426.23
Les Indépendants,SEN,20,18,90.0,5339,278.67
Gauche Démocrate et Républicaine,AN,17,15,88.2,5089,331.87
GEST,SEN,16,10,62.5,4650,315.47
CRCE-K,SEN,18,14,77.8,4495,258.57
RDPI,SEN,19,11,57.9,4184,240.81
Non inscrit,AN,10,10,100.0,2833,359.48
RDSE,SEN,16,6,37.5,2238,148.04
NI,SEN,4,3,75.0,1076,281.07
