nom_complet,siren,nb_sites,nb_departements,departements
SOLEVAL FRANCE,501619878,21,20,"01, 02, 10, 11, 14, 31, 32, 35, 40, 41, 46, 47, 50, 55, 56, 61, 72, 76, 85, 91"
GROUPE BIGARD,776221467,15,14,"13, 21, 29, 47, 51, 59, 60, 62, 71, 74, 76, 80, 81, 94"
LES ELEVEURS DE LA CHARENTONNE,478753353,43,13,"14, 18, 27, 35, 41, 44, 45, 50, 53, 61, 75, 76, 78"
DANONE PRODUITS FRAIS FRANCE (D.P.F.F.),672039971,16,13,"13, 14, 31, 32, 37, 38, 46, 57, 59, 69, 76, 91, 92"
BEL (LA VACHE QUI RIT - FBSA) (F.B.S.A),542088067,17,13,"02, 21, 34, 38, 39, 41, 50, 53, 59, 69, 72, 92, 94"
SOCOPA VIANDES,508513785,14,12,"03, 22, 27, 29, 50, 53, 61, 67, 72, 79, 84, 85"
ELIVIA,344477468,17,11,"14, 38, 44, 49, 51, 53, 61, 62, 79, 85, 88"
EUROSERUM,400869277,12,11,"12, 25, 29, 39, 43, 57, 70, 71, 75, 80, 82"
COOPERL ARC ATLANTIQUE,383986874,24,10,"22, 29, 35, 38, 49, 53, 56, 61, 79, 94"
BSAD,506650092,13,10,"10, 22, 26, 29, 30, 35, 42, 44, 84, 89"
CHARAL,546950379,10,10,"14, 19, 29, 44, 49, 57, 61, 72, 79, 85"
MONDELEZ FRANCE BISCUITS PRODUCTION SAS (LF SAS),433085149,17,10,"02, 08, 24, 25, 31, 33, 44, 50, 91, 92"
CANDIA (C.SAS),352014955,9,9,"29, 38, 42, 44, 59, 63, 64, 69, 75"
COMPAGNIE DES FROMAGES ET RICHESMONTS (CF ET R),501645196,12,9,"01, 14, 43, 50, 55, 57, 61, 63, 92"
EURIAL,353543358,16,9,"26, 29, 36, 38, 44, 69, 79, 85, 86"
BOUCHERS SERVICES,317238061,9,8,"03, 08, 17, 22, 35, 37, 53, 57"
GRAND SALOIR SAINT-NICOLAS (LOSTE GRAND SALOIR-LOSTE TRADI-FRANCE-LE DOUESY-GRAND SALOIR SAINT NICOLAS CHARCUTIER),709200133,12,8,"12, 13, 35, 41, 49, 59, 75, 94"
SAIPOL (DIESTER),388021156,12,8,"10, 33, 34, 44, 60, 63, 75, 76"
