nom_entreprise_aria,nom_api,siren,siret,categorie_entreprise,syndicat_regional,code_dept,adresse,commune,code_postal,naf,aria_region,latitude,longitude
SODELY,SODELY,448512384,44851238400091,ETI,ARIA AURA,01,ZAC DE ROSARGE LES ECHETS LES ECHETS 01700 MIRIBEL,01249,01700,10.11Z,ARIA AURA,45.865788,4.922325
CHARCUTERIE LARCON,CHARCUTERIE LARCON,501606875,50160687500018,PME,ARIA AURA,01,LE BALMAY 29 RUE DU TILLEUL 01430 VIEU-D'IZENAVE,01441,01430,10.11Z,ARIA AURA,46.092906,5.544978
CHARCUTERIE LARCON,CHARCUTERIE LARCON,501606875,50160687500026,PME,ARIA AURA,01,6 PLACE DE L'EGLISE 01590 DORTAN,01148,01590,10.11Z,ARIA AURA,46.319193,5.659925
CHARCUTERIE LARCON,CHARCUTERIE LARCON,501606875,50160687500034,PME,ARIA AURA,01,9 PLACE DE L’HOTEL DE VILLE 01100 BELLIGNAT,01031,01100,10.11Z,ARIA AURA,46.242186,5.628642
ABATTOIRS DES CRETS,ABATTOIRS DES CRETS,331979989,33197998900026,ETI,ARIA AURA,01,3 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.22112,5.225184
ABATTOIRS DES CRETS,ABATTOIRS DES CRETS,331979989,33197998900034,ETI,ARIA AURA,01,5 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.221232,5.224274
ABATTOIRS DES CRETS,ABATTOIRS DES CRETS,331979989,33197998900042,ETI,ARIA AURA,01,1 RUE JOSEPH JACQUARD 01000 BOURG-EN-BRESSE,01053,01000,10.11Z,ARIA AURA,46.220888,5.227113
CENTRE VIANDES BEAUVALLET FILS,CENTRE VIANDES BEAUVALLET FILS,086780202,08678020200031,ETI,ARIA AURA,01,659 AVENUE LEON BLUM 01500 AMBERIEU-EN-BUGEY,01004,01500,10.11Z,ARIA AURA,45.963526,5.342019
SA JOLY,SA JOLY,382006021,38200602100010,PME,ARIA AURA,01,01560 SAINT-JEAN-SUR-REYSSOUZE,01364,01560,10.11Z,ARIA AURA,46.39723,5.063083
SA JOLY,SA JOLY,382006021,38200602100028,PME,ARIA AURA,01,LA NEUVE 111 AVENUE DE MACON 01440 VIRIAT,01451,01440,10.11Z,ARIA AURA,46.212224,5.217427
PERINET,PERINET,310817572,31081757200046,PME,ARIA AURA,01,HAMEAU LE POUX 460 CHEMIN DE BOIS SEC 01570 FEILLENS,01159,01570,10.11Z,ARIA AURA,46.329196,4.887559
